1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,29
1,29
1,29
1,29
1,28
1,28
1,27
1,26
1,25
1,24
1,22
1,20
1,18
1,15
1,12
1,09
1,05
1,01
0,97
0,93
0,89
0,86
0,83
0,81
0,79
0,78
0,77
0,76
0,76
0,76
0,76
0,77
0,78
0,79
0,80
0,82
0,84
0,87
0,90
0,94
0,97
1,01
1,06
1,09
1,13
1,16
1,19
1,21
1,23
1,24
1,25
1,26
1,26
1,26
1,26
1,26
1,26
1,25
1,24
1,22
1,21
1,19
1,16
1,13
1,10
1,06
1,03
0,99
0,95
0,91
0,88
0,85
0,82
0,80
0,79
0,78
0,77
0,77
0,77
0,77
0,77
0,78
0,79
0,80
0,82
0,84
0,86
0,89
0,92
0,96
1,00
1,04
1,08
1,11
1,15
1,17
1,20
1,22
1,23
1,25
1,25
1,26
1,26
1,26
1,26
1,25
1,25
1,24
1,22
1,21
1,19
1,16
1,14
1,10
1,07
1,03
0,99
0,95
0,91
0,88
0,85
0,83
0,81
0,79
0,78
0,77
0,77
0,77
0,77
0,77
0,78
0,79
0,80
0,82
0,83
0,86
0,89
0,92
0,96
0,99
1,03
1,07
1,11
1,14
1,17
1,20
1,22
1,23
1,24
1,25
1,26
1,26
1,26
1,26
1,25
1,25
1,24
1,22
1,21
1,19
1,16
1,14
1,10
1,07
1,03
0,99
0,95
0,92
0,88
0,85
0,83
0,81
0,79
0,78
0,77
0,77
0,77
0,77
0,77
0,78
0,79
0,80
0,81
0,83
0,86
0,89
0,92
0,95
0,99
1,03
1,07
1,11
1,14
1,17
1,20
1,22
1,23
1,24
1,25
1,26
1,26
1,26
1,26
1,25
1,25
1,24
1,22
1,21
1,19
1,17
1,14
1,10
1,07
1,03
0,99
0,95
0,92
0,88
